timestamp	step	x_lr2
1624440821540	0	0.09937
1624440823773	1	0.09864926130043572
1624440826236	2	0.09792549719949915
1624440828370	3	0.09719648480899937
1624440830715	4	0.0964602066511225
1624440832921	5	0.09571493607486307
1624440835310	6	0.09495931275550434
1624440837551	7	0.09419240560593437
1624440839773	8	0.09341376082640249
1624440842076	9	0.09262343329095271
1624440844382	10	0.091822
1624440846596	11	0.09101055490328472
1624440848888	12	0.09019068499831753
1624440851088	13	0.08936442821811565
1624440853403	14	0.08853421421990879
1624440855596	15	0.08770278975515725
1624440857912	16	0.08687313082303753
1624440860238	17	0.08604834426816425
1624440862560	18	0.08523156186415773
1624440868288	19	0.0844258302153815
