timestamp	step	metrics_mAP_0.5_0.95
1623419020182	0	0.0
1623419028274	1	0.0
1623419036789	2	0.0
1623419046248	3	2.976696307671383e-05
1623419057320	4	9.324134408774058e-05
1623419067468	5	6.107482470744566e-05
1623419078468	6	0.00019872062749113617
1623419091088	7	0.00017790249801308812
1623419102974	8	0.00021301000909592515
1623419135747	9	0.00022188394572860242
