timestamp	step	x_lr0
1624964597170	0	7.000000000000001e-05
1624964598988	1	0.00014926130043570825
1624964600927	2	0.00022549719949915413
1624964602911	3	0.0002964848089993576
1624964604872	4	0.0003602066511224918
1624964606777	5	0.00041493607486307096
1624964608718	6	0.000459312755504344
1624964610631	7	0.0004924056059343658
1624964612551	8	0.000513760826402485
1624964614521	9	0.0005234332909527129
1624964616533	10	0.0005220000000000001
1624964620300	11	0.0005105549032847124
1624964622208	12	0.0004906849983175217
1624964624134	13	0.00046442821811564124
1624964626078	14	0.0004342142199087829
1624964627999	15	0.00040278975515723386
1624964629830	16	0.0003731308230375283
1624964631746	17	0.0003483442681642536
1624964633692	18	0.0003315618641577271
1624964638466	19	0.00032583021538149225
