timestamp	step	x_lr1
1624440821540	0	7.000000000000001e-05
1624440823773	1	0.00014926130043570825
1624440826236	2	0.00022549719949915413
1624440828370	3	0.0002964848089993576
1624440830715	4	0.0003602066511224918
1624440832921	5	0.00041493607486307096
1624440835310	6	0.000459312755504344
1624440837551	7	0.0004924056059343658
1624440839773	8	0.000513760826402485
1624440842076	9	0.0005234332909527129
1624440844382	10	0.0005220000000000001
1624440846596	11	0.0005105549032847124
1624440848888	12	0.0004906849983175217
1624440851088	13	0.00046442821811564124
1624440853402	14	0.0004342142199087829
1624440855595	15	0.00040278975515723386
1624440857912	16	0.0003731308230375283
1624440860238	17	0.0003483442681642536
1624440862560	18	0.0003315618641577271
1624440868288	19	0.00032583021538149225
