timestamp	step	metrics_mAP_0.5
1623419020181	0	0.0
1623419028274	1	0.0
1623419036789	2	0.0
1623419046248	3	0.00010584246535488238
1623419057319	4	0.0004504928913398568
1623419067468	5	0.00043358616745004853
1623419078467	6	0.0007726600996173222
1623419091087	7	0.0007176681524821937
1623419102974	8	0.0013091554056153414
1623419135746	9	0.001150079463870128
