timestamp	step	train_obj_loss
1624961666668	0	0.0011252093827351928
1624961668559	1	0.0012424656888470054
1624961670838	2	0.001537584001198411
1624961673311	3	0.0017142904689535499
1624961675300	4	0.001849994296208024
1624961677259	5	0.0020465042907744646
1624961679893	6	0.002057882724329829
1624961681888	7	0.0023134576622396708
1624961683901	8	0.0021886276081204414
1624961685988	9	0.0023921481333673
1624961688139	10	0.002522360533475876
1624961690149	11	0.002615549834445119
1624961692158	12	0.0025095068849623203
1624961694254	13	0.0027178009040653706
1624961696330	14	0.002648104913532734
1624961698375	15	0.0027592512778937817
1624961700375	16	0.002737692091614008
1624961702417	17	0.002828913275152445
1624961704551	18	0.0029415376484394073
1624961709466	19	0.0027937034610658884
