timestamp	step	metrics_precision
1624961666668	0	0.0
1624961668559	1	0.0
1624961670839	2	0.0
1624961673311	3	0.0
1624961675301	4	0.0
1624961677259	5	0.0
1624961679893	6	0.0
1624961681889	7	0.0
1624961683901	8	0.0
1624961685988	9	0.0
1624961688139	10	0.0
1624961690150	11	0.0
1624961692158	12	0.0
1624961694254	13	0.0
1624961696331	14	0.0
1624961698376	15	0.0
1624961700375	16	0.0
1624961702418	17	0.0
1624961704552	18	0.0
1624961709466	19	0.0
