timestamp	step	train_box_loss
1624961666667	0	0.16806982457637787
1624961668558	1	0.16412565112113953
1624961670838	2	0.16251294314861298
1624961673310	3	0.15999849140644073
1624961675300	4	0.15860505402088165
1624961677258	5	0.15613430738449097
1624961679893	6	0.15606723725795746
1624961681888	7	0.1538289487361908
1624961683900	8	0.1534193754196167
1624961685988	9	0.15308409929275513
1624961688139	10	0.15105880796909332
1624961690149	11	0.14974135160446167
1624961692157	12	0.1513873189687729
1624961694253	13	0.14870762825012207
1624961696330	14	0.14796307682991028
1624961698375	15	0.14918363094329834
1624961700375	16	0.14852450788021088
1624961702417	17	0.1480502337217331
1624961704551	18	0.14789512753486633
1624961709466	19	0.14722894132137299
